direction,setup_bar,entry_bar,entry,sl,tp,exit_bar,exit,r_multiple,outcome,entry_time,exit_time
long,53,62,14596.599609375,14322.901537071992,15431.75,67,14322.901537071992,-1.0,loss,2021-04-05 00:00:00+00:00,2021-04-12 00:00:00+00:00
short,78,84,14744.14990234375,15070.172682014681,13596.75,90,15070.172682014681,-1.0,loss,2021-05-07 00:00:00+00:00,2021-05-18 00:00:00+00:00
long,267,276,17366.7998046875,17237.09924326526,17794.599609375,277,17237.09924326526,-1.0,loss,2022-02-11 00:00:00+00:00,2022-02-14 00:00:00+00:00
short,529,540,17795.4501953125,18053.865637835326,17003.900390625,545,17003.900390625,3.0630901812982065,win,2023-03-06 00:00:00+00:00,2023-03-14 00:00:00+00:00
short,801,814,22358.75,22551.51759988943,21710.19921875,817,22551.51759988943,-1.0,loss,2024-04-22 00:00:00+00:00,2024-04-25 00:00:00+00:00
short,968,988,24154.1748046875,24601.756684084496,21860.650390625,1053,21860.650390625,5.124256632445552,win,2025-01-02 00:00:00+00:00,2025-04-07 00:00:00+00:00
short,1045,1047,23433.5,23895.306258341076,21964.599609375,1053,21964.599609375,3.180771945147864,win,2025-03-27 00:00:00+00:00,2025-04-07 00:00:00+00:00
short,1049,1058,23412.19921875,23591.515253560516,22786.900390625,1059,23591.515253560516,-1.0,loss,2025-04-16 00:00:00+00:00,2025-04-17 00:00:00+00:00
long,1137,1149,24758.7001953125,24322.595689853246,26277.349609375,1212,26277.349609375,3.4823061790275167,win,2025-08-26 00:00:00+00:00,2025-11-27 00:00:00+00:00
