ts,year,quarter,session,in_killzone,vol_regime,pd_zone,atr_pct,ret_15m,ret_60m,recent_sweep,trend_15m,trend_1h,trend_4h,direction,confidence,outcome,realized_R
2016-05-02 19:25:00+00:00,2016,2,ny_pm,0,normal,premium,0.030027540136889914,-2.7389802161668183e-05,0.0008856662498497359,buyside,na,range,bear,short,4,win,0.20055517002090673
2016-05-05 13:22:00+00:00,2016,2,ny_am,1,normal,discount,0.02233963221592812,3.277934358809173e-05,-0.0007606679873412608,none,na,bull,bear,flat,0,flat,0.0
2016-05-10 07:19:00+00:00,2016,2,london,1,normal,premium,0.03173244210039708,0.0013643101632956403,0.0016097971025901834,none,na,bear,bull,flat,0,flat,0.0
2016-05-12 15:17:00+00:00,2016,2,off,0,high,discount,0.04011475987194838,-0.002131507630220395,-0.005633826628946132,none,na,bear,range,flat,0,flat,0.0
2016-05-17 09:35:00+00:00,2016,2,off,0,normal,premium,0.018492394965293438,0.0005694712561077265,-0.0011257329813255297,none,na,bull,range,flat,0,flat,0.0
2016-05-19 17:34:00+00:00,2016,2,ny_pm,0,normal,discount,0.037153680658519005,0.0006738931936788108,0.0016731773044175282,none,na,bear,bear,flat,0,flat,0.0
2016-05-24 11:31:00+00:00,2016,2,ny_am,1,low,premium,0.011546689849628889,0.0003693132597138257,0.0007662870201014833,buyside,na,range,range,short,5,loss,-1.2747252747253186
2016-05-26 19:29:00+00:00,2016,2,ny_pm,0,normal,equilibrium,0.019031573713703485,0.00044405346807451196,0.0005276379091857137,none,na,range,bull,flat,0,flat,0.0
2016-05-31 18:33:00+00:00,2016,2,ny_pm,0,high,discount,0.03293664060170319,0.0010966285441578406,-0.002597131072219978,sellside,na,bear,bull,flat,0,flat,0.0
2016-06-03 12:30:00+00:00,2016,2,ny_am,1,high,discount,0.03344193652338408,-0.0030440547660968344,-0.002935138975104993,sellside,na,bull,range,flat,0,flat,0.0
2016-06-08 06:27:00+00:00,2016,2,london,1,normal,discount,0.011738882617405796,0.00018781331245294885,-0.0015749626008967814,sellside,na,bear,bull,long,5,win,0.26344086021485397
2016-06-10 14:25:00+00:00,2016,2,ny_am,1,high,discount,0.03990892443655431,0.0019077937071951888,0.0005709027651843751,none,na,range,range,flat,0,flat,0.0
2016-06-15 08:22:00+00:00,2016,2,london,1,normal,premium,0.02182414110594259,5.763363091877255e-05,-0.0003196894832326738,sellside,na,bear,range,long,5,win,0.35321100917404785
2016-06-17 16:21:00+00:00,2016,2,off,0,normal,discount,0.03110659842864291,0.0007120772147753873,0.0017874935563466192,sellside,na,range,bear,long,4,timeout,-0.4651619234543747
2016-06-22 10:19:00+00:00,2016,2,off,0,low,premium,0.013727430052610913,-0.0001949525223382854,0.0004697667535193837,none,na,range,bear,flat,0,flat,0.0
2016-06-24 18:18:00+00:00,2016,2,ny_pm,0,normal,discount,0.05095186723245728,-0.0010540235607952983,-0.00039309209210681257,buyside,na,range,range,short,4,win,0.4929785661493125
2016-06-29 12:15:00+00:00,2016,2,ny_am,1,normal,premium,0.021073271679765148,5.196700837353283e-05,0.00026903047926832426,buyside,na,range,bear,short,5,loss,-1.1033057851239638
2016-07-04 06:39:00+00:00,2016,3,london,1,high,premium,0.020523711712026403,0.0005175989185958912,0.003921389432365512,buyside,na,bull,range,flat,0,flat,0.0
2016-07-06 17:52:00+00:00,2016,3,ny_pm,0,normal,premium,0.02953302602494432,0.0002270892913975841,0.0007795815667295121,none,na,range,range,flat,0,flat,0.0
2016-07-11 11:49:00+00:00,2016,3,ny_am,1,low,premium,0.015365947187108979,-0.000651851819309036,0.0004695080885688455,sellside,na,bull,bull,long,8,win,0.1909650924024163
2016-07-13 19:47:00+00:00,2016,3,ny_pm,0,normal,premium,0.02177407283747828,0.0007029071280554057,0.00030205824118305114,buyside,na,bull,range,short,4,loss,-1.1512859304085419
2016-07-18 13:44:00+00:00,2016,3,ny_am,1,normal,discount,0.03172502880749141,-0.0005284743949291767,-0.0013061195399046081,none,na,bull,bull,long,7,win,0.042415528396847715
